aX,aY,aZ,gX,gY,gZ
-0.438,-0.512,-0.581,-79.712,-39.551,-69.519
-0.522,-0.483,-0.615,-73.303,-47.302,-69.824
-0.794,-0.365,-1.511,72.876,-11.536,-64.209
-0.822,-0.358,-1.619,87.463,-9.705,-70.496
-0.859,-0.368,-1.737,99.976,-5.066,-77.148
-0.833,-0.365,-1.885,107.361,1.831,-84.106
-0.825,-0.364,-1.998,108.643,8.972,-91.675
-0.882,-0.305,-2.053,101.440,18.066,-98.450
-0.797,-0.324,-2.063,88.867,32.166,-100.586
-0.762,-0.268,-2.081,72.632,44.006,-100.342
-0.760,-0.242,-2.045,52.002,54.016,-99.792
-0.757,-0.229,-1.960,33.386,66.956,-95.520
-0.785,-0.220,-1.848,17.883,79.956,-91.919
-0.778,-0.219,-1.700,6.042,92.896,-91.125
-0.770,-0.232,-1.555,-2.197,105.286,-90.332
-0.771,-0.255,-1.426,-8.240,115.417,-89.844
-0.753,-0.244,-1.340,-15.442,125.977,-92.102
-0.672,-0.154,-1.252,-23.071,139.526,-96.497
-0.594,-0.073,-1.113,-26.428,153.198,-96.863
-0.552,0.029,-0.946,-26.062,161.804,-94.788
-0.525,0.147,-0.792,-22.888,166.443,-89.478
-0.468,0.224,-0.647,-15.808,167.236,-83.069
-0.288,0.269,-0.500,-7.751,162.537,-74.890
-0.294,0.253,-0.420,-3.296,145.264,-63.660
-0.271,0.259,-0.359,-4.761,129.150,-53.162
-0.105,0.308,-0.331,-8.789,126.038,-45.410
0.072,0.325,-0.260,-13.550,117.004,-37.842
0.174,0.362,-0.227,-18.738,101.868,-26.611
0.272,0.444,-0.190,-23.926,84.106,-15.808
0.430,0.560,-0.163,-24.658,65.857,-7.751
0.606,0.681,-0.099,-20.996,43.884,1.587
0.781,0.808,-0.025,-19.897,18.311,16.907
0.944,0.894,0.059,-21.912,-7.446,38.452
1.071,0.942,0.173,-25.879,-37.659,65.002
1.181,0.968,0.299,-29.114,-74.890,92.773
1.328,0.967,0.439,-28.870,-117.554,118.164
1.478,0.921,0.536,-27.100,-167.603,139.404
1.556,0.908,0.570,-21.118,-225.403,157.654
1.568,0.901,0.554,-7.446,-286.072,172.119
1.520,0.870,0.436,10.803,-339.355,186.707
1.512,0.782,0.217,30.762,-374.451,203.369
1.446,0.636,-0.022,48.950,-389.404,222.229
1.351,0.371,-0.235,67.200,-385.254,238.342
1.291,0.018,-0.436,76.538,-368.225,244.690
1.176,-0.320,-0.641,73.425,-343.750,237.366
1.084,-0.622,-0.878,62.988,-314.026,215.942
0.982,-0.834,-1.104,44.800,-283.936,185.120
0.897,-0.915,-1.265,18.677,-259.949,159.241
0.812,-0.977,-1.431,-12.085,-241.882,148.193
0.752,-1.059,-1.579,-34.363,-224.487,149.048
0.603,-1.251,-1.743,-42.480,-211.914,154.236
0.492,-1.510,-1.932,-42.236,-203.247,157.959
0.451,-1.766,-2.151,-41.382,-191.895,156.067
0.431,-1.966,-2.396,-39.124,-175.049,142.761
0.378,-2.087,-2.614,-34.424,-154.846,119.019
0.322,-2.095,-2.713,-38.025,-128.357,93.628
0.260,-1.955,-2.737,-49.988,-98.145,69.763
0.196,-1.734,-2.698,-58.472,-71.594,47.729
0.141,-1.520,-2.589,-58.716,-49.744,31.982
0.072,-1.315,-2.474,-51.880,-31.921,24.048
0.002,-1.136,-2.379,-37.231,-21.179,19.836
-0.055,-0.973,-2.340,-17.151,-17.517,17.517
-0.111,-0.791,-2.427,6.165,-16.052,15.137
